лошадь	кобыла
соединять	добавлять
выход	проход
композитор	писатель
дружелюбный	великодушный
дата	календарь
кот	питомец
пляж	остров
возлюбленный	спутник
доктор	профессор
скрипка	инструмент
работа	управление
заслуживать	зарабатывать
отодвигать	отвергать
флот	армия
госпожа	господин
мужчина	дядя
выносливость	сила
анатомия	биология
усилие	трудность
логика	арифметика
понимать	слушать
рот	губа
интеллект	логика
эпоха	десятилетие
объединяться	жениться
говорить	признавать
продаваться	продавать
автомобиль	такси
гора	выступ
идти	входить
бог	дух
птица	индейка
битва	завоевание
деньги	бриллиант
начинать	происходить
брать	получать
брать	получать
покладистый	гибкий
одежда	ткань
пиво	напиток
курятина	стейк
одежда	пиджак
победитель	гол
действовать	происходить
ловкий	выносливый
зима	сезон
капитан	моряк
спор	критика
президент	мэр
статья	журнал
книга	статья
назначение	обязательство
проигрывать	проваливать
исчезать	сжиматься
завершать	становиться
молекула	атом
общение	язык
мать	опекунша
врач	ортодонт
эмоция	страсть
мышь	управление
жесткий	жестокий
облако	туман
армия	отряд
небо	вселенная
молекула	воздух
книга	эссе
лелеять	хранить
актриса	актер
школа	класс
грипп	жар
сотрудничать	участвовать
рожать	носить
мальчик	сын
тело	грудь
злость	настроение
приятный	великодушный
родитель	взрослый
холм	утес
луч	солнце
курица	индейка
делать	становиться
жаловаться	ругаться
признавать	уведомлять
крыса	мышь
пляж	море
наставник	помощник
лен	ткань
пакт	условие
знать	понимать
изучать	заниматься
хитрый	умный
ружье	пушка
постель	одеяло
облако	дымка
тело	позвоночник
большой	широкий
ноготь	палец
меню	заказ
озеро	болото
слово	литература
думать	спрашивать
держать	занимать
сильный	гордый
кисть	палец
пузырь	пена
одежда	ткань
банка	бутылка
богатство	слава
квартира	гостиница
скрытный	странный
дверь	ворота
орган	печень
рот	зуб
глубина	величина
палец	ладонь
яблоко	повидло
чашка	кувшин
изучать	оценивать
судно	палуба
кровать	мебель
снег	погода
деньги	жемчуг
дом	амбар
действие	курс
достигать	оставаться
оставаться	сохранять
стул	скамейка
друг	наставник
мнение	идея
цветок	куст
автомобиль	карета
убивать	вешать
кажущийся	очевидный
большой	тяжелый
выходной	неделя
дуб	клен
корень	трава
биография	роман
горло	нос
умножать	складывать
говорить	подтверждать
грубый	равнодушный
дерево	бумага
август	месяц
ущелие	долина
диета	салат
ум	навык
облако	мгла
стена	отделка
нерв	мозг
внимание	осведомленность
красота	возраст
назначать	избирать
слово	словарь
крыша	потолок
ядро	пушка
боб	кофе
пчела	матка
мука	горе
напоминать	забывать
странный	скрытный
секунда	минута
щека	язык
наука	психология
сахар	мед
кость	колено
дом	государство
юбилей	год
ужин	суп
витамин	железо
брать	красть
знать	верить
телефон	будка
ярд	дюйм
ситуация	состояние
платформа	вагон
колледж	профессия
метр	дюйм
река	море
химия	теория
разбирательство	вердикт
шея	позвоночник
занимать	нищенствовать
дышать	задыхаться
рука	запястье
олово	алюминий
компетенция	способность
животное	человек
диск	компьютер
работник	механик
мужество	хладнокровие
мальчик	брат
принимать	верить
открывать	происходить
скромный	покладистый
кровать	спальня
друг	гость
облако	погода
одежда	пуговица
ужасный	рассерженный
туча	буря
койка	больница
завтрак	бекон
сила	способность
колледж	класс
подруга	мать
диета	яблоко
делать	прекращать
заменять	восстанавливать
общаться	молиться
официальный	приличный
печальный	ужасный
карниз	занавеска
способность	компетенция
парень	бабник
цветок	луковица
человек	охранник
висок	шампанское
пачка	сигара
бутылка	контейнер
налог	доход
бровь	глаз
ценность	вера
врач	самообладание
бутерброд	обед
боль	вред
корова	коза
бог	священник
кость	шея
слово	страница
печень	легкий
автомобиль	шланг
снег	шторм
книга	тема
работодатель	работник
десятилетие	век
кость	челюсть
кость	лодыжка
мясо	бутерброд
электорат	партия
ванная	кухня
автомобиль	подъемник
кость	зуб
шпиль	часовня
рука	плечо
лодка	якорь
вода	лед
фраза	слово
мать	жена
печаль	стыд
книга	тема
кастрюля	прибор
тело	нерв
медбрат	ученый
завтрак	ужин
страница	абзац
покидать	идти
объединяться	приобретать
стена	кирпич
факультет	юриспруденция
отец	дочь
смерть	бедствие
бал	костюм
победитель	кандидат
загрязнение	атмосфера
полиэстер	хлопок
лагерь	домик
писатель	читатель
область	угол
вкладывать	соединять
поглощать	иметь
неугомонный	молодой
автомобиль	гудок
воздух	гелий
история	тема
молоко	сок
атом	углерод
достигать	пытаться
высказываться	участвовать
покидать	странствовать
линза	фотоаппарат
глаз	слеза
радость	гордость
работник	работодатель
шоколад	пирог
мнение	выбор
песня	история
коробка	лифт
автомобиль	завод
преуспевать	пытаться
притворяться	воображать
понимать	удовлетворять
солнце	небо
развлечение	футбол
мужчина	братство
квартира	мебель
невежество	ум
учащийся	преподаватель
мускул	язык
нелегальный	безнравственный
плохой	виноватый
скромный	пристыжать
автомобиль	датчик
пиво	шампанское
письмо	абзац
рука	кость
узнавать	слушать
занимать	продавать
мышка	кошка
рука	мускул
свитер	пиджак
оркестр	парад
норка	мех
женщина	секретарь
день	рассвет
яблоко	сладость
отец	мать
брат	человек
тело	плечо
ложка	чашка
кость	локоть
игнорировать	обращаться
убивать	защищать
церковь	хор
невеста	принцесса
сын	отец
верх	бок
класс	коридор
спорить	различаться
книга	история
яблоко	сок
ступня	голова
тетя	племянник
автомобиль	велосипед
зерно	горчица
пляж	риф
язык	горло
рашкуль	уголь
завершать	решать
организовывать	становиться
самолет	аэропорт
пол	потолок
верование	мнение
богатство	репутация
салат	уксус
спор	соглашение
отрицание	признание
конь	бык
мясо	хлеб
яблоко	лимон
звонок	дверь
шляпа	пальто
автомобиль	автострада
кровь	плоть
диван	стул
баскетбол	бейсбол
карта	бридж
кровь	мозг
дверь	кухня
мальчик	солдат
кровать	стул
ружье	нож
нос	рот
покидать	игнорировать
поглощать	учиться
кот	лев
рука	тело
комната	кровать
юрист	банкир
автомобиль	мост
ужин	курятина
брать	доставлять
хотеть	выбирать
башня	колокол
ванная	спальня
мишень	стрела
рука	вена
рис	боб
ночь	рассвет
идти	посылать
становиться	казаться
длинный	узкий
сердце	операция
друг	парень
носитель	новость
мальчик	партнер
слово	ключ
мяч	перчатка
глава	конец
брать	нести
класть	вешать
несчастный	рассерженный
одежда	шкаф
брат	сын
тело	желудок
присутствие	дверь
дерзкий	гордый
петля	пояс
судно	автомобиль
комната	ванна
гитара	барабан
король	принцесса
дом	ковер
шляпка	гвоздь
ноготь	кисть
глава	выбор
износоустойчивость	повязка
состояние	мальчик
трапеза	талия
грязный	дешевый
мяч	корзина
шланг	сад
день	утро
масло	картофель
бедро	губа
угождать	умолять
добавлять	строить
дверь	коридор
путешествие	завоевание
отец	брат
локоть	лодыжка
коробка	шляпа
братство	бейсбол
цент	размер
принимать	отвергать
покидать	входить
проваливать	обескураживать
гончая	лиса
дом	ключ
рожок	барабан
цель	поиск
пчела	муравей
масло	норка
мускул	кость
собака	лошадь
рука	шея
улица	автомобиль
тюрьма	выбор
работник	фотоаппарат
приносить	посылать
собираться	посещать
игра	сноровка
плечо	голова
ружье	мех
платформа	контейнер
изображать	уведомлять
счастливый	молодой
север	запад
бог	жертва
человек	победитель
рука	колено
низ	бок
кот	кролик
победитель	присутствие
цветок	выносливость
задача	женщина
задача	пустяк
женщина	мех
умножать	делить
побеждать	завершать
принимать	рекомендовать
начинать	идти
давать	знать
дверь	подвал
хлеб	сыр
курятина	рис
ружье	шалость
ванна	шалость
ученик	президент
желудок	вена
подбодрять	отговаривать
пытаться	думать
представлять	решать
занимать	хотеть
ужин	завтрак
одежда	ящик
мотор	лодка
дверь	пол
взрослый	младенец
бекон	боб
парень	девушка
псалом	завоевание
задача	автострада
загрязнение	президент
дантист	полковник
ванна	жена
читать	понимать
держать	давать
реальность	фантазия
богатство	бедность
река	долина
лимон	чай
разрушение	построение
мужчина	ребенок
крыша	пол
арифметика	ритм
вера	цветок
трюк	размер
ночь	глава
цент	жена
спиртное	группа
кушетка	бейсбол
доллар	народ
получать	назначать
приходить	приносить
приносить	восстанавливать
устраивать	нуждаться
поглощать	отделяться
ранить	бесстрастный
окно	дверь
реальность	иллюзия
грешник	святой
выбор	вена
остров	задача
жена	солома
дыра	жена
народ	цент
яблоко	солнце
фотоаппарат	президент
палуба	мышь
контейнер	мышь
ванна	шар
миска	хвост
соглашаться	спорить
посылать	получать
складывать	делить
создавать	представлять
покидать	появляться
напоминать	продавать
отсутствие	присутствие
пруток	тюрьма
бог	дьявол
пруток	клетка
потолок	собор
братство	дверь
формула	журнал
ружье	рассвет
рис	мальчик
народ	ружье
народ	шар
получать	давать
покидать	оставаться
говорить	слышать
идти	позволять
забирать	оставлять
забывать	помнить
терять	получать
принимать	доставлять
игнорировать	исследовать
приносить	жаловаться
входить	задолжать
старый	новый
тяжелый	легкий
короткий	длинный
широкий	узкий
легкий	трудный
трудный	простой
сообразительный	тупой
счастливый	рассерженный
острый	тупой
счастливый	злой
узкий	широкий
старый	свежий
ненормальный	нормальный
печальный	смешной
милый	жестокий
ненужный	необходимый
тупой	интеллектуальный
плохой	великолепный
трудный	простой
плохой	потрясающий
рассердить	довольный
честный	виноватый
легкий	трудный
необычный	обычный
современный	старинный
новый	старый
скучный	смешной
легкий	большой
прекрасный	ужасный
крошечный	огромный
тупой	умный
немой	редкий
свежий	широкий
огромный	тупой
крупный	гибкий
грязный	узкий
жена	муж
жених	невеста
ночь	день
юг	север
дядя	тетя
низ	верх
нога	рука
женщина	мужчина
собака	кошка
закат	рассвет
ребенок	взрослый
зима	лето
кисть	ступня
желудок	талия
вода	соль
дорожка	шар
прореха	соглашение
спиртное	век
курс	желудок
псалом	солома
лодыжка	окно
принцесса	остров
желудок	спальня
велосипед	спальня
бревно	ванна
разрушать	создавать
преуспевать	проваливать
тратить	копить
сжиматься	расти
прибывать	покидать
принимать	отвергать
соответствовать	различаться
забывать	узнавать
терять	сохранять
разрушать	организовывать
разрушать	строить
воровать	покупать
забывать	знать
соглашаться	отказывать
начинать	прекращать
находить	исчезать
создавать	разрушать
давать	красть
посылать	посещать
маг	волшебник
автомобиль	машина
мальчик	парень
побережье	берег
поездка	путешествие
птица	журавль
птица	петух
приспособление	инструмент
еда	фрукт
камень	драгоценность
день	полдень
печь	плита
брат	монах
брат	парень
автомобиль	путешествие
монах	оракул
еда	петушок
берег	лес
журавль	приспособление
приют	дурдом
берег	лесопарк
побережье	холм
монах	раб
кладбище	лесопарк
парень	волшебник
шнур	улыбка
полдень	веревка
стекло	маг
лес	погост
петушок	путешествие
автомобиль	машина
маг	волшебник
доллар	бакс
мальчик	парень
машина	автомобиль
петух	петушок
кладбище	погост
автограф	подпись
расположение	размещение
расчет	вычисление
жидкость	вода
побережье	берег
чемпионат	турнир
шнур	веревка
тигр	тигр
поездка	путешествие
деньги	богатство
тип	вид
футбол	мини-футбол
крепостной	раб
ребенок	мать
марафон	спринт
король	королева
убийство	кровопролитие
улица	проспект
миля	километр
деньги	валюта
алюминий	металл
морепродукт	омар
чашка	посуда
деньги	наличные
птица	журавль
холм	курган
дерево	лес
водка	джин
птица	петух
омар	еда
приспособление	инструмент
тигр	кошка
тигр	ягуар
ягуар	кошка
теннис	ракетка
книга	библиотека
век	год
доллар	йена
мексика	бразилия
новость	сообщение
еда	фрукт
лес	лесопарк
тигр	кошачьи
война	войска
улица	квартал
мобильный	телефон
деньги	доллар
морепродукт	море
банк	деньги
объявление	предупреждение
деньги	банк
камень	драгоценность
компания	фонд
психология	дисциплина
психология	наука
тигр	млекопитающее
тигр	хищник
водка	бренди
морепродукт	еда
иерусалим	израиль
прибор	приспособление
усмешка	улыбка
лечение	восстановление
напиток	пища
планета	звезда
страна	гражданин
тигр	животное
тигр	фауна
студент	профессор
доктор	медсестра
инструмент	приcпособление
марадона	футбол
день	полдень
кино	театр
природа	среда
ливень	гроза
чашка	кофе
огурец	картофель
сми	радио
деньги	имущество
ливень	наводнение
планета	космос
психология	cознание
психология	фрейд
шкаф	одежда
футбол	теннис
компьютер	клавиатура
компьютер	программа
любовь	секс
мужчина	женщина
журавль	петушок
фбр	расследование
доктор	персонал
психология	психиатрия
дивиденд	выплата
книга	бумага
компьютер	интернет
король	ладья
телевидение	фильм
бокс	раунд
зритель	сериал
поголовье	скот
игра	победа
кровать	шкаф
поездка	машина
печь	плита
наркотик	злоупотребление
объявление	новости
прецедент	право
сеть	аппаратура
иерусалим	палестинец
епископ	раввин
планета	луна
рок	джаз
закон	юрист
жизнь	смерть
планета	солнце
территория	километр
жертва	авария
планета	астроном
стекло	стакан
телефон	сообщение
деньги	депозит
ягуар	автомобиль
прибыль	убыток
машина	поездка
инсульт	больница
кино	критик
стекло	металл
юрист	доказательство
прецедент	пример
брат	монах
еда	приготовление
погода	прогноз
физика	химия
музей	театр
телевидение	радио
физика	протон
игра	поражение
прецедент	познание
министр	партия
отель	бронирование
инвалидность	смерть
награда	мужество
планета	галактика
психология	депрессия
психология	клиника
хлеб	масло
оракул	мудрец
чашка	напиток
фбр	улика
день	рассвет
игра	раунд
профессор	доктор
среда	экология
улица	место
арафат	терроризм
игра	команда
концерт	виртуоз
чашка	предмет
маг	оракул
планета	люди
планета	созвездие
телефон	оборудование
допуск	билет
поезд	машина
опек	нефть
блядь	секс
компьютер	лаборатория
космос	мир
мудрец	волшебник
валик	подушка
гарвард	йель
кладбище	курган
самолет	машина
больница	инфраструктура
тигр	зоопарк
вода	утечка
японец	американец
проблема	вызов
бой	поражение
брат	парень
каньон	пейзаж
психология	страх
чашка	еда
футбол	баскетбол
опек	страна
умник	глупец
инвестор	заработок
психология	здоровье
марс	ученый
деньги	снятие
деньги	отмывание
автомобиль	путешествие
чашка	вещь
психология	тревога
чашка	жидкость
любовник	ссора
прибытие	отель
лето	засуха
алкоголь	химия
валюта	рынок
выставка	реликвия
перечисление	категория
потребитель	энергия
тигр	организм
деньги	владение
кино	попкорн
лето	природа
птица	лесопарк
фонд	рынок
энергия	лаборатория
сохранение	мир
парень	брат
доллар	прибыль
конкуренция	цена
монах	оракул
начало	год
ответственность	страхование
побережье	лес
психология	познание
психология	доктор
умник	студент
доктор	ответственность
кредит	карта
министерство	культура
семья	планирование
жизнь	срок
прецедент	предшественник
еда	петушок
театр	история
цель	жизнь
передвижение	деятельность
печь	приспособление
территория	поверхность
секретарь	сенат
видео	архив
берег	лес
открытие	космос
жизнь	урок
журавль	приспособление
день	лето
приют	кладбище
сто	процент
улица	дети
чашка	объект
берег	путешествие
деньги	операция
кожа	глаз
мораль	брак
потребитель	доверие
мораль	важность
беспристрастность	интерес
кино	звезда
кредит	информация
начало	матч
компьютер	новости
шанс	доверие
дивиденд	расчет
изображение	поверхность
приют	дурдом
опера	выступление
игра	серия
пол	равенство
рождаемость	яйцо
развитие	вопрос
ситуация	заключение
сми	торговля
губернатор	офис
правительство	кризис
роскошь	автомобиль
холм	лесопарк
расследование	усилие
приют	монах
парень	мастер
прецедент	информация
курган	берег
курган	плита
мыло	опера
омар	вино
оборудование	производитель
побережье	холм
атмосфера	пейзаж
бейсбол	сезон
берег	лесопарк
запись	число
космос	химия
мир	атмосфера
напиток	рот
школа	центр
доллар	потеря
регистрация	расположение
стекло	драгоценность
отчет	выгода
губернатор	интервью
бакалея	деньги
нефть	фонд
святой	секс
монах	 оракул
природа	мужчина
мужчина	губернатор
изменение	отношение
мальчик	петушок
причина	критерий
направление	сочетание
смерть	ссора
слово	сходство
усмешка	приспособление
монах	раб
усмешка	парень
возможность	девушка
задержка	новости
кладбище	лесопарк
погост	дурдом
президент	медаль
парень	волшебник
мир	страхование
чашка	вещество
архитектура	век
оружие	тайна
чашка	артефакт
марс	вода
меньшинство	мир
доброволец	девиз
век	нация
король	капуста
наблюдение	архитектура
журнал	ассоциация
фонд	ягуар
аккорд	улыбка
еда	петух
мир	план
фрукт	печь
энергия	кризис
арафат	мир
запас	жизнь
размер	известность
фонд	телефон
cреда	новости
музыка	проект
население	развитие
объявление	производство
объявление	усилие
перечисление	близость
предубеждение	признание
профессор	огурец
ситуация	изоляция
бедствие	площадь
производство	экипаж
автомобиль	валик
валик	драгоценность
задержка	расизм
месяц	отель
напиток	ухо
опера	отрасль
опыт	музыка
ориентир	индекс
развертывание	вывод
развертывание	отход
семь	серия
смерть	заключенный
энергия	секретарь
мальчик	мудрец
прибыль	предупреждение
автограф	берег
петушок	путешествие
подписать	перерыв
прецедент	сбор
причина	гипертония
проблема	аэропорт
стекло	маг
фонд	яйцо
автомобиль	волшебник
арафат	джексон
доска	рекомендация
линия	страхование
машина	полет
напиток	мать
полдень	веревка
попытка	мир
прецедент	группа
приют	фрукт
производство	поход
пять	месяц
сми	выгода
шнур	улыбка
напиток	машина
сахар	подход
лес	погост
практика	учреждение
фонд	cd
маг	волшебник
автомобиль	машина
мальчик	парень
петух	петушок
автограф	подпись
кладбище	погост
побережье	берег
шнур	веревка
поездка	путешествие
крепостной	раб
птица	журавль
холм	курган
птица	петух
приспособление	инструмент
еда	фрукт
лес	лесопарк
камень	драгоценность
усмешка	улыбка
день	полдень
журавль	петушок
печь	плита
стекло	стакан
брат	монах
оракул	мудрец
маг	оракул
мудрец	волшебник
кладбище	курган
валик	подушка
брат	парень
птица	лесопарк
автомобиль	путешествие
монах	оракул
еда	петушок
печь	приспособление
берег	лес
берег	путешествие
приют	кладбище
журавль	приспособление
приют	дурдом
холм	лесопарк
приют	монах
курган	плита
курган	берег
берег	лесопарк
побережье	холм
стекло	драгоценность
мальчик	петушок
монах	раб
усмешка	приспособление
усмешка	парень
кладбище	лесопарк
погост	дурдом
парень	волшебник
фрукт	печь
мальчик	мудрец
автомобиль	валик
валик	драгоценность
петушок	путешествие
шнур	улыбка
автограф	берег
полдень	веревка
автомобиль	волшебник
приют	фрукт
стекло	маг
лес	погост
расположение	размещение
деньги	богатство
ребенок	мать
теннис	ракетка
новость	сообщение
война	войска
книга	библиотека
банк	деньги
морепродукт	море
деньги	банк
компания	фонд
объявление	предупреждение
иерусалим	израиль
страна	гражданин
лечение	восстановление
инструмент	приcпособление
марадона	футбол
природа	среда
кино	театр
компьютер	клавиатура
компьютер	программа
психология	фрейд
шкаф	одежда
планета	космос
психология	cознание
деньги	имущество
чашка	кофе
ливень	наводнение
любовь	секс
фбр	расследование
телевидение	фильм
бокс	раунд
компьютер	интернет
книга	бумага
зритель	сериал
игра	победа
кровать	шкаф
поездка	машина
иерусалим	палестинец
сеть	аппаратура
наркотик	злоупотребление
прецедент	право
закон	юрист
планета	астроном
деньги	депозит
телефон	сообщение
жертва	авария
территория	километр
кино	критик
инсульт	больница
юрист	доказательство
брат	монах
еда	приготовление
погода	прогноз
физика	протон
игра	поражение
министр	партия
прецедент	познание
планета	галактика
отель	бронирование
психология	депрессия
чашка	напиток
психология	клиника
награда	мужество
инвалидность	смерть
фбр	улика
день	рассвет
среда	экология
игра	раунд
игра	команда
арафат	терроризм
концерт	виртуоз
чашка	предмет
планета	люди
планета	созвездие
допуск	билет
опек	нефть
компьютер	лаборатория
космос	мир
тигр	зоопарк
вода	утечка
опек	страна
каньон	пейзаж
бой	поражение
психология	страх
проблема	вызов
чашка	еда
психология	здоровье
инвестор	заработок
марс	ученый
деньги	снятие
деньги	отмывание
фонд	рынок
валюта	рынок
доллар	прибыль
деньги	владение
лето	засуха
психология	тревога
сохранение	мир
кино	попкорн
любовник	ссора
прибытие	отель
чашка	жидкость
конкуренция	цена
перечисление	категория
лето	природа
алкоголь	химия
выставка	реликвия
энергия	лаборатория
потребитель	энергия
парень	брат
начало	год
ответственность	страхование
побережье	лес
психология	познание
психология	доктор
доктор	ответственность
умник	студент
кредит	карта
министерство	культура
семья	планирование
жизнь	срок
территория	поверхность
секретарь	сенат
цель	жизнь
театр	история
видео	архив
жизнь	урок
открытие	космос
беспристрастность	интерес
мораль	важность
день	лето
сто	процент
улица	дети
потребитель	доверие
мораль	брак
деньги	операция
журавль	приспособление
кредит	информация
кино	звезда
начало	матч
компьютер	новости
дивиденд	расчет
изображение	поверхность
шанс	доверие
рождаемость	яйцо
пол	равенство
игра	серия
развитие	вопрос
губернатор	офис
ситуация	заключение
сми	торговля
правительство	кризис
роскошь	автомобиль
расследование	усилие
прецедент	информация
мыло	опера
оборудование	производитель
доллар	потеря
регистрация	расположение
бейсбол	сезон
напиток	рот
бакалея	деньги
космос	химия
побережье	холм
мир	атмосфера
атмосфера	пейзаж
отчет	выгода
школа	центр
губернатор	интервью
берег	лесопарк
нефть	фонд
святой	секс
монах	оракул
природа	мужчина
изменение	отношение
направление	сочетание
причина	критерий
смерть	ссора
слово	сходство
монах	раб
задержка	новости
президент	медаль
возможность	девушка
кладбище	лесопарк
парень	волшебник
оружие	тайна
архитектура	век
мир	страхование
чашка	вещество
меньшинство	мир
марс	вода
доброволец	девиз
наблюдение	архитектура
век	нация
король	капуста
журнал	ассоциация
фонд	ягуар
энергия	кризис
мир	план
арафат	мир
размер	известность
запас	жизнь
фонд	телефон
производство	экипаж
бедствие	площадь
ситуация	изоляция
население	развитие
музыка	проект
объявление	производство
предубеждение	признание
перечисление	близость
объявление	усилие
cреда	новости
профессор	огурец
развертывание	вывод
смерть	заключенный
ориентир	индекс
развертывание	отход
прибыль	предупреждение
семь	серия
опыт	музыка
опера	отрасль
месяц	отель
напиток	ухо
энергия	секретарь
задержка	расизм
напиток	машина
практика	учреждение
лес	погост
сахар	подход
фонд	cd
попытка	мир
линия	страхование
напиток	мать
сми	выгода
пять	месяц
доска	рекомендация
прецедент	сбор
подписать	перерыв
проблема	аэропорт
машина	полет
причина	гипертония
фонд	яйцо
прецедент	группа
производство	поход
стекло	маг
петушок	путешествие
полдень	веревка
шнур	улыбка
маг	волшебник
машина	автомобиль
мальчик	парень
доллар	бакс
